placeID,Rcuisine
132734,Pizzeria
132733,Pizzeria
132732,Mexican
132725,Fast_Food
132724,American
132723,Mexican
132719,Hot_Dogs
132718,Hot_Dogs
132717,Fast_Food
132715,Mexican
132714,Mexican
132713,American
132712,Mexican
132711,Mexican
132710,Mexican
132709,Mexican
132708,Mexican
132707,Mexican
132706,Mexican
132705,Mexican
132704,Mexican
132703,Mexican
132702,Mexican
132701,Mexican
132700,Mexican
132699,Mexican
132698,Mexican
132697,Mexican
132696,Mexican
132695,Mexican
132694,Mexican
132693,Bar
132692,Mexican
132691,Mexican
132690,Mexican
132689,American
132688,Mexican
132687,Japanese
132686,Thai
132685,Barbecue
132684,American
132683,American
132682,American
132681,Mexican
132680,Mexican
132679,American
132678,Mexican
132677,Mexican
132676,Armenian
132675,Mexican
132674,American
132673,Mexican
132672,Mexican
132671,Armenian
132670,Mexican
132669,Mexican
132668,Mexican
132667,Armenian
132666,Mexican
132665,Mexican
132664,Mexican
132663,Mexican
132662,Mexican
132658,American
132657,Mexican
132655,American
132653,American
132652,Mexican
132650,American
132649,Mexican
132648,African
132646,Mexican
132645,American
132643,Mexican
132642,African
132640,American
132638,American
132637,Mexican
132636,American
132635,American
132634,Mexican
132632,Mexican
132631,Mexican
132630,Mexican
132629,Mexican
132628,Italian
132626,Italian
132625,Mexican
132624,Mexican
132623,Mexican
132622,Chinese
132621,Mexican
132620,Fast_Food
132619,Mexican
132618,Fast_Food
132617,Mexican
132615,Mexican
132614,Mexican
132613,Mexican
132612,Pizzeria
132611,Mexican
132610,Mexican
132609,Fast_Food
132608,Mexican
132607,Mexican
132606,American
132605,American
132604,Cafeteria
132603,Mexican
132602,Mexican
132601,Cafe-Coffee_Shop
132600,American
132599,Mexican
132598,Mexican
132596,Mexican
132595,Mexican
132594,Mexican
132593,Mexican
132592,Mexican
132591,Mexican
132590,Hot_Dogs
132589,Cafeteria
132588,Mexican
132587,American
132584,Mexican
132583,American
132582,Bakery
132581,Dessert-Ice_Cream
132580,Mexican
132579,Fast_Food
132578,Mexican
132577,Fast_Food
132576,Fast_Food
132575,Diner
132574,Pizzeria
132573,Hot_Dogs
132572,Cafeteria
132560,Regional
132557,Italian
132555,International
132555,Polish
132555,Vegetarian
132551,Dutch-Belgian
132550,Italian
132549,International
132548,International
132547,International
132546,International
132545,International
132544,French
132543,Dutch-Belgian
132542,International
132541,Steaks
132540,Dutch-Belgian
132539,Cafe-Coffee_Shop
132538,International
132537,Dutch-Belgian
132536,Dutch-Belgian
132535,International
132533,French
132532,Vegetarian
132531,Barbecue
132531,Dutch-Belgian
132530,Cafe-Coffee_Shop
132530,Dutch-Belgian
132529,International
132528,International
132527,French
132527,Dutch-Belgian
132526,International
132525,International
132524,International
132523,International
132522,International
132521,French
132521,Dutch-Belgian
132519,Japanese
132518,Japanese
132517,French
132514,Dutch-Belgian
132513,German
132511,German
132509,French
132493,Seafood
132493,Southwestern
132493,Steaks
132491,Bakery
132491,Cafe-Coffee_Shop
132488,Mexican
132487,Southwestern
132485,Cafe-Coffee_Shop
132484,Italian
132483,Armenian
132483,German
132483,Persian
132482,German
132481,German
132479,German
132478,German
132477,Chinese
132474,International
132474,Regional
132470,German
132469,German
132468,German
132464,German
132459,Dutch-Belgian
132458,Ethiopian
132457,Juice
132456,Juice
132455,Juice
132454,Juice
132453,Juice
132452,Juice
132451,Italian
132450,Dutch-Belgian
132449,Cafe-Coffee_Shop
132449,Dutch-Belgian
132448,Dutch-Belgian
132447,International
132446,French
132445,Cafe-Coffee_Shop
132444,Dutch-Belgian
132443,French
132443,International
132442,French
132442,International
132441,Dutch-Belgian
132440,Dutch-Belgian
132439,French
132439,Dutch-Belgian
132438,Mediterranean
132437,Mediterranean
132436,International
132435,Dutch-Belgian
132434,Dutch-Belgian
132433,Dutch-Belgian
132432,Cafe-Coffee_Shop
132430,Italian
132429,Dutch-Belgian
132425,Fast_Food
132421,Italian
132419,Italian
132419,Mediterranean
132417,Italian
132417,Mediterranean
132414,Asian
132413,American
132413,International
132410,Bar_Pub_Brewery
132409,Seafood
132408,Dutch-Belgian
132407,Mediterranean
132406,Soup
132402,French
132399,Cafe-Coffee_Shop
132398,Dutch-Belgian
132396,International
132393,Mexican
132392,Contemporary
132392,Continental-European
132389,Greek
132387,Greek
132386,Greek
132384,Greek
132381,Pizzeria
132380,Pizzeria
132377,Greek
132372,Greek
132367,Greek
132366,Greek
132365,Greek
132364,Greek
132363,Greek
132362,Greek
132361,Greek
132360,Greek
132359,Greek
132358,Greek
132357,Greek
132356,Greek
132355,Greek
132354,Greek
132353,Greek
132352,Greek
132351,Greek
132350,Greek
132349,Greek
132348,Greek
132347,Greek
132346,Greek
132345,Greek
132344,Greek
132343,Greek
132342,Italian
132341,Japanese
132341,Sushi
132339,American
132337,Cafe-Coffee_Shop
132336,American
132335,Bar_Pub_Brewery
132333,Japanese
132333,Sushi
132332,International
132331,International
132330,International
132329,Pizzeria
132329,Deli-Sandwiches
132328,Pizzeria
132328,Deli-Sandwiches
132326,Pizzeria
132324,International
132321,International
132319,French
132319,Dutch-Belgian
132318,Mediterranean
132318,Cafe-Coffee_Shop
132317,French
132317,Dutch-Belgian
132316,Dutch-Belgian
132315,Continental-European
132312,Chinese
132312,Vietnamese
132310,Southwestern
132306,Breakfast-Brunch
132302,American
132302,Polish
132300,Pizzeria
132299,Dutch-Belgian
132298,International
132297,French
132296,Barbecue
132296,French
132296,Dutch-Belgian
132295,Dutch-Belgian
132294,Southern
132292,Cafe-Coffee_Shop
132289,Contemporary
132289,French
132284,Pizzeria
132284,Italian
132283,Cafe-Coffee_Shop
132281,Bar_Pub_Brewery
132280,American
132275,Latin_American
132274,Mexican
132273,Spanish
132273,Latin_American
132272,Contemporary
132271,Bar_Pub_Brewery
132270,Bar_Pub_Brewery
132269,Chinese
132268,Chinese
132266,Chinese
132265,Asian
132262,Chinese
132258,Cafeteria
132258,Polish
132258,Seafood
132257,Bar_Pub_Brewery
132255,Game
132255,Bar_Pub_Brewery
132253,Cafeteria
132253,Polish
132253,Fast_Food
132250,Eastern_European
132249,International
132247,Pizzeria
132246,Italian
132246,Mediterranean
132245,German
132244,French
132244,German
132244,Italian
132243,French
132243,Italian
132242,Greek
132240,American
132240,Bar_Pub_Brewery
132239,Burgers
132238,Japanese
132238,Sushi
132237,Japanese
132237,Seafood
132237,Sushi
132235,American
132235,Burgers
132234,Italian
132233,Italian
132232,Italian
132231,Italian
132230,Italian
132229,Italian
132228,California
132228,Italian
132226,American
132226,Seafood
132225,Chinese
132223,Bakery
132223,Cafe-Coffee_Shop
132223,Deli-Sandwiches
132221,American
132220,French
132218,Dutch-Belgian
132217,Pizzeria
132217,Italian
132216,Pizzeria
132216,Italian
132215,Dutch-Belgian
132214,American
132214,Bar_Pub_Brewery
132213,Cafe-Coffee_Shop
132212,French
132211,French
132210,Chinese
132209,Chinese
132208,Dutch-Belgian
132207,International
132207,Italian
132206,International
132204,International
132203,Dutch-Belgian
132201,French
132192,Dutch-Belgian
132191,Polish
132187,Cafe-Coffee_Shop
132187,Bar_Pub_Brewery
132186,Pizzeria
132186,Italian
132184,Italian
132184,Mediterranean
132182,Italian
132182,Continental-European
132180,Italian
132177,Bagels
132177,Cafe-Coffee_Shop
132177,Deli-Sandwiches
132175,Chinese
132174,Chinese
132171,Asian
132171,Chinese
132167,Bar_Pub_Brewery
132166,French
132166,International
132166,Dutch-Belgian
132165,International
132164,International
132163,Cafe-Coffee_Shop
132162,International
132161,French
132161,International
132160,Dutch-Belgian
132159,French
132157,Greek
132156,Dutch-Belgian
132155,French
132155,Mediterranean
132147,Pizzeria
132147,Deli-Sandwiches
132146,Deli-Sandwiches
132145,Deli-Sandwiches
132138,Bakery
132137,Pizzeria
132137,Deli-Sandwiches
132136,Pizzeria
132133,Japanese
132132,Pizzeria
132131,Italian
132130,Turkish
132128,Vegetarian
132128,Fast_Food
132127,Eastern_European
132126,Family
132126,Mexican
132125,Family
132125,Mexican
132121,Italian
132120,Asian
132119,Vegetarian
132118,Vegetarian
132116,Asian
132115,Asian
132114,Cafe-Coffee_Shop
132109,Vegetarian
132109,Organic-Healthy
132108,Japanese
132108,Steaks
132108,Sushi
132107,Japanese
132106,Vegetarian
132105,French
132103,Italian
132102,Cafe-Coffee_Shop
132101,American
132101,Bar_Pub_Brewery
132100,American
132100,Bar_Pub_Brewery
132098,Dutch-Belgian
132097,Cafe-Coffee_Shop
132096,Dutch-Belgian
132094,Pizzeria
132092,Family
132087,Cafe-Coffee_Shop
132083,International
132031,Family
132031,German
132031,Fine_Dining
132030,French
132030,Dutch-Belgian
132028,Italian
132028,Seafood
132026,Dutch-Belgian
132025,Dutch-Belgian
132024,Seafood
132024,Continental-European
132023,French
132023,Dutch-Belgian
132022,Dutch-Belgian
132021,Dutch-Belgian
132020,International
132019,Dutch-Belgian
132018,Dutch-Belgian
132017,Dutch-Belgian
132016,International
132015,Dutch-Belgian
132014,Dutch-Belgian
132013,International
132012,French
132012,Dutch-Belgian
132010,Mediterranean
132010,Dutch-Belgian
132009,International
132008,International
132007,Mediterranean
132006,Dutch-Belgian
132005,French
132005,Seafood
132004,Seafood
132003,International
132002,Seafood
132001,Dutch-Belgian
