placeID,hours,days
135067,12:00-23:00;,Sat;
135067,12:00-23:00;,Sun;
135066,07:00-23:00;,Sat;
135066,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135066,07:00-23:00;,Sun;
135065,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135065,14:00-23:30;,Sat;
135065,14:00-18:00;,Sun;
135064,07:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135064,07:00-22:30;,Sat;
135064,07:00-22:30;,Sun;
135063,08:30-19:30;,Mon;Tue;Wed;Thu;Fri;
135063,08:30-19:30;,Sat;
135063,09:00-15:00;,Sun;
135062,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135062,00:00-23:30;,Sat;
135062,00:00-23:30;,Sun;
135061,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135061,07:00-23:00;,Sat;
135061,07:00-23:00;,Sun;
135060,11:30-19:00;,Mon;Tue;Wed;Thu;Fri;
135060,11:30-19:00;,Sat;
135060,11:30-19:00;,Sun;
135059,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135059,12:00-23:30;,Sat;
135059,12:00-23:30;,Sun;
135058,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135058,13:00-23:00;,Sat;
135058,13:00-23:00;,Sun;
135057,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
135057,13:00-23:00;,Sat;
135057,13:00-23:00;,Sun;
135056,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135056,00:00-00:00;,Sat;
135056,00:00-00:00;,Sun;
135055,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135055,14:00-22:00;,Sat;
135055,14:00-20:30;,Sun;
135054,07:00-19:00;,Mon;Tue;Wed;Thu;Fri;
135054,07:00-19:00;,Sat;
135054,07:00-19:00;,Sun;
135053,11:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135053,11:00-22:00;,Sat;
135053,11:00-22:00;,Sun;
135052,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135052,08:00-23:30;,Sat;
135052,08:00-23:30;,Sun;
135051,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135051,08:00-23:30;,Sat;
135051,00:00-00:00;,Sun;
135050,12:00-19:30;,Mon;Tue;Wed;Thu;Fri;
135050,12:00-19:30;,Sat;
135050,12:00-19:30;,Sun;
135049,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135049,12:00-20:00;,Sat;
135049,12:00-20:00;,Sun;
135048,11:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135048,11:00-22:30;,Sat;
135048,11:00-22:30;,Sun;
135047,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135047,08:00-23:30;,Sat;
135047,08:00-22:00;,Sun;
135046,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;
135046,08:30-21:00;,Sat;
135046,08:30-21:00;,Sun;
135045,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135045,13:00-23:30;,Sat;
135045,13:00-19:00;,Sun;
135044,13:00-22:30;,Mon;Tue;Wed;Thu;Fri;
135044,13:00-22:30;,Sat;
135044,13:00-22:30;,Sun;
135043,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135043,00:00-00:00;,Sat;
135043,00:00-00:00;,Sun;
135042,11:00-21:30;,Mon;Tue;Wed;Thu;Fri;
135042,11:00-21:30;,Sat;
135042,11:00-21:30;,Sun;
135041,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135041,00:00-00:00;,Sat;
135041,00:00-00:00;,Sun;
135040,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135040,08:00-23:30;,Sat;
135040,08:00-23:30;,Sun;
135039,10:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135039,10:00-20:00;,Sat;
135039,10:00-20:00;,Sun;
135038,08:00-17:00;,Mon;Tue;Wed;Thu;Fri;
135038,08:00-17:00;,Sat;
135038,00:00-00:00;,Sun;
135037,13:30-22:00;,Mon;Tue;Wed;Thu;Fri;
135037,13:30-22:00;,Sat;
135037,13:30-22:00;,Sun;
135036,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135036,12:00-23:30;,Sat;
135036,12:00-23:30;,Sun;
135035,13:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135035,13:30-23:30;,Sat;
135035,13:30-18:30;,Sun;
135034,13:30-23:00;,Mon;Tue;Wed;Thu;Fri;
135034,13:30-23:00;,Sat;
135034,13:30-19:00;,Sun;
135033,09:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135033,09:00-21:00;,Sat;
135033,09:00-21:00;,Sun;
135032,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135032,07:00-23:30;,Sat;
135032,07:00-23:30;,Sun;
135031,07:00-19:00;,Mon;Tue;Wed;Thu;Fri;
135031,07:00-19:00;,Sat;
135031,07:00-19:00;,Sun;
135030,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135030,00:00-00:00;,Sat;
135030,00:00-00:00;,Sun;
135029,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135029,13:00-22:00;,Sat;
135029,13:00-22:00;,Sun;
135028,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135028,13:00-23:30;,Sat;
135028,13:00-19:00;,Sun;
135027,08:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135027,08:00-23:00;,Sat;
135027,08:00-19:00;,Sun;
135026,13:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135026,13:30-23:30;,Sat;
135026,00:00-00:00;,Sun;
135025,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135025,14:00-23:30;,Sat;
135025,00:00-00:00;,Sun;
135024,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135024,00:00-00:00;,Sat;
135024,00:00-00:00;,Sun;
135023,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135023,00:00-00:00;,Sat;
135023,00:00-00:00;,Sun;
135022,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135022,00:00-00:00;,Sat;
135022,00:00-00:00;,Sun;
135021,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135021,00:00-23:30;,Sat;
135021,00:00-23:30;,Sun;
135020,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
135020,08:00-21:00;,Sat;
135020,08:00-21:00;,Sun;
135019,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135019,00:00-00:00;,Sat;
135019,00:00-00:00;,Sun;
135018,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135018,00:00-00:00;,Sat;
135018,00:00-00:00;,Sun;
135017,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135017,00:00-00:00;,Sat;
135017,00:00-00:00;,Sun;
135016,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135016,00:00-00:00;,Sat;
135016,00:00-00:00;,Sun;
135015,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135015,00:00-00:00;,Sat;
135015,00:00-00:00;,Sun;
135014,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135014,00:00-00:00;,Sat;
135014,00:00-00:00;,Sun;
135013,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
135013,00:00-00:00;,Sat;
135013,00:00-00:00;,Sun;
135012,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135012,00:00-00:00;,Sat;
135012,00:00-00:00;,Sun;
135011,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135011,00:00-00:00;,Sat;
135011,00:00-00:00;,Sun;
135010,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135010,00:00-00:00;,Sat;
135010,00:00-00:00;,Sun;
135009,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
135009,00:00-00:00;,Sat;
135009,00:00-00:00;,Sun;
135008,07:30-23:30;,Mon;Tue;Wed;Thu;Fri;
135008,07:30-23:30;,Sat;
135008,07:30-23:30;,Sun;
135007,13:00-18:00;,Mon;Tue;Wed;Thu;Fri;
135007,13:00-23:00;,Sat;
135007,13:00-19:00;,Sun;
135006,12:30-20:30;,Mon;Tue;Wed;Thu;Fri;
135006,12:30-20:30;,Sat;
135006,12:30-19:00;,Sun;
135005,08:30-21:00;,Mon;Tue;Wed;Thu;Fri;
135005,08:30-21:00;,Sat;
135005,08:30-21:00;,Sun;
135004,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135004,12:00-23:30;,Sat;
135004,12:00-23:30;,Sun;
135003,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135003,12:00-20:00;,Sat;
135003,12:00-20:00;,Sun;
135002,12:00-20:00;,Mon;Tue;Wed;Thu;Fri;
135002,12:00-20:00;,Sat;
135002,11:30-20:00;,Sun;
135001,07:00-23:30;,Mon;Tue;Wed;Thu;Fri;
135001,07:00-23:30;,Sat;
135001,07:00-23:30;,Sun;
135000,07:30-18:00;,Mon;Tue;Wed;Thu;Fri;
135000,07:30-18:00;,Sat;
135000,07:30-18:00;,Sun;
134999,11:00-21:00;,Mon;Tue;Wed;Thu;Fri;
134999,11:00-21:00;,Sat;
134999,11:00-21:00;,Sun;
134998,12:00-18:00;,Mon;Tue;Wed;Thu;Fri;
134998,12:00-18:00;,Sat;
134998,12:00-18:00;,Sun;
134997,11:00-21:30;,Mon;Tue;Wed;Thu;Fri;
134997,11:00-21:30;,Sat;
134997,11:00-21:30;,Sun;
134996,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134996,07:00-23:00;,Sat;
134996,07:00-23:00;,Sun;
134995,08:00-18:00;,Mon;Tue;Wed;Thu;Fri;
134995,09:00-15:00;,Sat;
134995,00:00-00:00;,Sun;
134994,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134994,07:00-23:00;,Sat;
134994,07:00-23:00;,Sun;
134993,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134993,12:00-23:30;,Sat;
134993,12:00-22:00;,Sun;
134992,08:00-21:30;,Mon;Tue;Wed;Thu;Fri;
134992,08:00-21:30;,Sat;
134992,00:00-00:00;,Sun;
134991,07:30-23:30;,Mon;Tue;Wed;Thu;Fri;
134991,07:30-23:30;,Sat;
134991,08:00-18:00;,Sun;
134990,12:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134990,12:00-23:30;,Sat;
134990,14:00-23:30;,Sun;
134989,13:30-22:00;,Mon;Tue;Wed;Thu;Fri;
134989,13:30-23:30;,Sat;
134989,13:30-20:00;,Sun;
134988,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134988,00:00-23:30;,Sat;
134988,00:00-23:30;,Sun;
134987,13:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134987,12:00-23:30;,Sat;
134987,12:00-22:00;,Sun;
134986,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134986,00:00-23:30;,Sat;
134986,00:00-23:30;,Sun;
134985,09:30-23:30;,Mon;Tue;Wed;Thu;Fri;
134985,09:30-23:30;,Sat;
134985,09:30-23:30;,Sun;
134984,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134984,14:00-23:30;,Sat;
134984,14:00-21:00;,Sun;
134983,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134983,13:00-23:30;,Sat;
134983,13:00-19:00;,Sun;
134982,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134982,14:00-23:30;,Sat;
134982,14:00-23:30;,Sun;
134981,11:00-20:00;,Mon;Tue;Wed;Thu;Fri;
134981,11:00-20:00;,Sat;
134981,11:00-20:00;,Sun;
134980,11:00-18:00;,Mon;Tue;Wed;Thu;Fri;
134980,11:00-18:00;,Sat;
134980,11:00-18:00;,Sun;
134979,11:00-20:00;,Mon;Tue;Wed;Thu;Fri;
134979,11:00-20:00;,Sat;
134979,11:00-20:00;,Sun;
134978,14:00-22:00;,Mon;Tue;Wed;Thu;Fri;
134978,14:00-22:00;,Sat;
134978,14:00-18:00;,Sun;
134977,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
134977,13:00-22:00;,Sat;
134977,13:00-22:00;,Sun;
134975,08:00-23:30;,Mon;Tue;Wed;Thu;Fri;
134975,08:00-23:30;,Sat;
134975,08:00-20:00;,Sun;
134974,13:00-22:00;,Mon;Tue;Wed;Thu;Fri;
134974,13:00-22:00;,Sat;
134974,13:00-22:00;,Sun;
134973,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;
134973,08:00-21:00;,Sat;
134973,09:00-17:00;,Sun;
134972,07:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134972,07:00-23:00;,Sat;
134972,07:00-23:00;,Sun;
134971,14:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134971,14:00-23:00;,Sat;
134971,14:00-23:00;,Sun;
134970,08:00-23:00;,Mon;Tue;Wed;Thu;Fri;
134970,08:00-23:00;,Sat;
134970,08:00-23:00;,Sun;
133049,09:00-16:00;,Mon;Tue;Wed;Thu;Fri;
133049,10:00-15:00;,Sat;
133049,10:00-16:00;,Sun;
133048,09:00-17:00;,Mon;Tue;Wed;Thu;Fri;
133048,09:00-17:00;,Sat;
133048,10:00-03:30;,Sun;
133047,06:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133047,02:00-23:30;,Sat;
133047,04:00-23:30;,Sun;
133043,07:00-22:00;,Mon;Tue;Wed;Thu;Fri;
133043,07:00-22:00;,Sat;
133043,07:00-22:00;,Sun;
133042,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133042,00:00-23:30;,Sat;
133042,00:00-23:30;,Sun;
133041,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133041,00:00-23:30;,Sat;
133041,00:00-23:30;,Sun;
133040,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133040,00:00-23:30;,Sat;
133040,00:00-23:30;,Sun;
133039,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133039,11:00-23:30;,Sat;
133039,11:00-23:30;,Sun;
133038,10:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133038,10:30-23:30;,Sat;
133038,10:30-23:30;,Sun;
133037,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133037,00:00-23:30;,Sat;
133037,00:00-23:30;,Sun;
133036,10:30-23:30;,Mon;Tue;Wed;Thu;Fri;
133036,10:30-23:30;,Sat;
133036,10:30-23:30;,Sun;
133035,12:00-17:00;,Mon;Tue;Wed;Thu;Fri;
133035,12:00-17:00;,Sat;
133035,12:00-19:00;,Sun;
133034,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133034,00:00-23:30;,Sat;
133034,00:00-23:30;,Sun;
133033,11:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133033,11:00-23:30;,Sat;
133033,11:00-23:30;,Sun;
133032,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133032,00:00-23:30;,Sat;
133032,00:00-23:30;,Sun;
133031,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133031,00:00-23:30;,Sat;
133031,00:00-23:30;,Sun;
133030,09:00-22:00;,Mon;Tue;Wed;Thu;Fri;
133030,09:00-23:30;,Sat;
133030,09:00-20:00;,Sun;
133029,13:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133029,13:00-23:30;,Sat;
133029,15:00-23:30;,Sun;
133028,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133028,00:00-23:30;,Sat;
133028,00:00-23:30;,Sun;
133027,10:00-21:30;,Mon;Tue;Wed;Thu;Fri;
133027,10:00-23:00;,Sat;
133027,10:00-23:00;,Sun;
133026,14:30-20:00;,Mon;Tue;Wed;Thu;Fri;
133026,14:00-20:30;,Sat;
133026,14:00-20:30;,Sun;
133025,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133025,00:00-23:30;,Sat;
133025,00:00-23:30;,Sun;
133024,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133024,00:00-23:30;,Sat;
133024,00:00-23:30;,Sun;
133023,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133023,00:00-23:30;,Sat;
133023,00:00-23:30;,Sun;
133022,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133022,00:00-23:30;,Sat;
133022,00:00-23:30;,Sun;
133021,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133021,00:00-23:30;,Sat;
133021,00:00-23:30;,Sun;
133020,18:30-23:30;,Mon;Tue;Wed;Thu;Fri;
133020,17:00-23:30;,Sat;
133020,17:00-23:30;,Sun;
133019,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133019,00:00-23:30;,Sat;
133019,00:00-23:30;,Sun;
133018,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133018,00:00-23:30;,Sat;
133018,00:00-23:30;,Sun;
133017,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133017,00:00-23:30;,Sat;
133017,00:00-23:30;,Sun;
133016,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133016,00:00-23:30;,Sat;
133016,00:00-23:30;,Sun;
133015,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133015,00:00-23:30;,Sat;
133015,00:00-23:30;,Sun;
133014,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133014,00:00-23:30;,Sat;
133014,00:00-23:30;,Sun;
133013,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133013,00:00-23:30;,Sat;
133013,00:00-23:30;,Sun;
133012,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133012,00:00-23:30;,Sat;
133012,00:00-23:30;,Sun;
133011,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133011,00:00-23:30;,Sat;
133011,00:00-23:30;,Sun;
133010,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133010,00:00-23:30;,Sat;
133010,00:00-23:30;,Sun;
133009,10:00-18:00;,Mon;Tue;Wed;Thu;Fri;
133009,10:00-20:30;,Sat;
133009,10:00-15:30;,Sun;
133008,14:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133008,15:00-23:30;,Sat;
133008,00:00-00:00;,Sun;
133007,11:00-19:30;,Mon;Tue;Wed;Thu;Fri;
133007,12:30-21:30;,Sat;
133007,13:30-20:30;,Sun;
133006,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133006,00:00-23:30;,Sat;
133006,00:00-23:30;,Sun;
133005,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133005,00:00-23:30;,Sat;
133005,00:00-23:30;,Sun;
133004,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133004,00:00-23:30;,Sat;
133004,00:00-23:30;,Sun;
133003,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133003,00:00-23:30;,Sat;
133003,00:00-23:30;,Sun;
133002,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133002,00:00-23:30;,Sat;
133002,00:00-23:30;,Sun;
133001,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133001,00:00-23:30;,Sat;
133001,00:00-23:30;,Sun;
133000,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
133000,00:00-23:30;,Sat;
133000,00:00-23:30;,Sun;
132999,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132999,00:00-23:30;,Sat;
132999,00:00-23:30;,Sun;
132998,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132998,00:00-23:30;,Sat;
132998,00:00-23:30;,Sun;
132997,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132997,00:00-23:30;,Sat;
132997,00:00-23:30;,Sun;
132996,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;
132996,08:00-19:00;,Sat;
132996,08:00-14:00;,Sun;
132995,21:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132995,21:00-23:30;,Sat;
132995,21:00-23:30;,Sun;
132994,21:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132994,21:00-23:30;,Sat;
132994,21:00-23:30;,Sun;
132993,18:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132993,18:00-23:30;,Sat;
132993,18:00-23:30;,Sun;
132992,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;
132992,00:00-23:30;,Sat;
132992,00:00-23:30;,Sun;
132986,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
132986,00:00-00:00;,Sat;
132986,08:00-11:00;,Sun;
132985,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
132985,00:00-00:00;,Sat;
132985,08:00-11:00;,Sun;
132984,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132984,21:00-01:00;,Sat;
132984,21:00-00:00;,Sun;
132983,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132983,21:00-01:00;,Sat;
132983,21:00-00:00;,Sun;
132982,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132982,21:00-01:00;,Sat;
132982,21:00-00:00;,Sun;
132981,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132981,21:00-01:00;,Sat;
132981,21:00-00:00;,Sun;
132980,00:00-00:00;,Mon;Tue;Wed;Thu;Fri;
132980,00:00-00:00;,Sat;
132980,08:00-11:00;,Sun;
132979,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132979,21:00-01:00;,Sat;
132979,21:00-00:00;,Sun;
132978,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132978,21:00-01:00;,Sat;
132978,21:00-00:00;,Sun;
132977,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132977,21:00-01:00;,Sat;
132977,21:00-00:00;,Sun;
132976,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132976,21:00-01:00;,Sat;
132976,21:00-00:00;,Sun;
132975,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132975,21:00-01:00;,Sat;
132975,21:00-00:00;,Sun;
132974,21:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132974,21:00-01:00;,Sat;
132974,21:00-00:00;,Sun;
132973,21:00-01:30;,Mon;Tue;Wed;Thu;Fri;
132973,20:00-01:00;,Sat;
132973,20:00-00:30;,Sun;
132972,19:00-01:00;,Mon;Tue;Wed;Thu;Fri;
132972,19:00-02:00;,Sat;
132972,19:00-02:00;,Sun;
132971,08:00-18:00;,Sat;
132971,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;
132971,08:00-17:00;,Sun;
132970,20:00-01:00;,Mon;Tue;Wed;Thu;Fri;
